Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
533676,Indo Thai Securities Limited,INDOTHAI,INDO THAI SECURITIES LTD.,Active,T ,10.00,INE337M01013,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
533699,Rain Industries Limited,RAINCOBBPH,RAINCOBBPH,Delisted,P ,2.00,-, ,Equity,-,-,-,-
533704,Essar Shipping Ltd,ESSARSHPNG,ESSAR SHIPPING LTD.,Active,B ,10.00,INE122M01019,Shipping,Equity,Services,Services,Transport Services,Shipping
533711,Gemini Communications Ltd.,GEMINIBBPH,GEMINIBBPH,Delisted,P ,1.00,-, ,Equity,-,-,-,-
533748,Avantel Limited,AVANTEBBPH,AVANTEBBPH,Delisted,P ,10.00,NA          , ,Equity,-,-,-,-
533758,APL Apollo Tubes Limited,APLAPOLLO,APL APOLLO TUBES LTD.,Active,A ,2.00,INE702C01027,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
533761,GPT Infraprojects limited,GPTINFRA,GPT INFRAPROJECTS LTD.,Active,B ,10.00,INE390G01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
533790,KGN ENTERPRISES LIMITED,KGNENT,KGN ENTERPRISES LTD.,Delisted,Z ,10.00,INE755B01019,Refineries & Marketing,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Refineries & Marketing
533799,Praj Industries Ltd.,PRAJINDBBPH,PRAJINDBBPH,Delisted,P ,2.00,-, ,Equity,-,-,-,-
533809,BOROSIL RENEWABLES LIMITED,BOROSILBBPH,BOROSILBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
